ID,Protein half life
YDR245W,535.4
YDR246W,542.7
YDR246W-A,
YDR247W,113.2
YDR248C,634.3
YDR249C,
YDR250C,
YDR251W,489.9
YDR252W,
YDR253C,
YDR254W,
YDR255C,603.8
YDR256C,
YDR257C,544.3
YDR258C,2685.4
YDR259C,
YDR260C,
YDR261C,280.0
YDR261C-C,
YDR261C-D,
YDR261W-A,
YDR261W-B,
YDR262W,59.5
YDR263C,
YDR264C,602.6
YDR265W,619.8
YDR266C,467.4
YDR267C,577.9
YDR268W,586.4
YDR269C,
YDR270W,
YDR271C,
YDR272W,429.7
YDR273W,
YDR274C,
YDR275W,
YDR276C,
YDR277C,
YDR278C,
YDR279W,585.6
YDR280W,545.2
YDR281C,
YDR282C,
YDR283C,666.8
YDR284C,1724.5
YDR285W,
YDR286C,
YDR287W,487.9
YDR288W,430.0
YDR289C,504.8
YDR290W,
YDR291W,804.4
YDR292C,594.1
YDR293C,678.4
YDR294C,511.3
YDR295C,562.9
YDR296W,417.3
YDR297W,390.6
YDR298C,434.9
YDR299W,502.0
YDR300C,652.6
YDR301W,731.8
YDR302W,
YDR303C,551.3
YDR304C,642.9
YDR305C,561.2
YDR306C,
YDR307W,
YDR308C,316.7
YDR309C,30.1
YDR310C,545.9
YDR311W,489.1
YDR312W,589.3
YDR313C,119.1
YDR314C,
YDR315C,
YDR316W,462.5
YDR316W-A,
YDR316W-B,
YDR317W,
YDR318W,275.3
YDR319C,
YDR320C,574.7
YDR320C-A,
YDR320W-B,
YDR321W,650.9
YDR322CA,
YDR322C-A,407.7
YDR322W,552.4
YDR323C,522.6
YDR324C,632.7
YDR325W,300.7
YDR326C,152.8
YDR327W,
YDR328C,635.5
YDR329C,508.8
YDR330W,400.8
YDR331W,
YDR332W,800.7
YDR333C,578.1
YDR334W,461.2
YDR335W,
YDR336W,
YDR337W,429.5
YDR338C,
YDR339C,608.5
YDR340W,
YDR341C,625.5
YDR342C,76.0
YDR343C,76.0
YDR344C,
YDR345C,378.7
YDR346C,571.5
YDR347W,510.2
YDR348C,505.6
YDR349C,
YDR350C,
YDR351W,148.1
YDR352W,
YDR353W,464.1
YDR354C-A,
YDR354W,858.6
YDR355C,
YDR356W,390.0
YDR357C,
YDR358W,558.6
YDR359C,424.0
YDR360W,
YDR361C,633.3
YDR362C,550.2
YDR363W,739.4
YDR363WA,
YDR363W-A,475.8
YDR364C,
YDR365C,564.2
YDR365W-B,
YDR366C,
YDR367W,862.4
YDR368W,806.2
YDR369C,31.0
YDR370C,174.4
YDR371C-A,
YDR371W,391.3
YDR372C,571.4
YDR373W,264.4
YDR374C,
YDR374W-A,
YDR375C,337.9
YDR376W,549.7
YDR377W,374.0
YDR378C,
YDR379C-A,
YDR379W,413.6
YDR380W,
YDR381C-A,309.7
YDR381W,618.2
YDR382W,574.5
YDR383C,
YDR384C,56.3
YDR385W,593.3
YDR386W,
YDR387C,
YDR388W,592.0
YDR389W,328.9
YDR390C,547.2
YDR391C,437.4
YDR392W,503.8
YDR393W,
YDR394W,541.9
YDR395W,639.9
YDR396W,
YDR397C,412.6
YDR398W,521.0
YDR399W,738.3
YDR400W,682.8
YDR401W,
YDR402C,
YDR403W,
YDR404C,696.0
YDR405W,
YDR406W,485.2
YDR406W-A,
YDR407C,592.8
YDR408C,515.5
YDR409W,447.6
YDR410C,
YDR411C,339.1
YDR412W,421.2
YDR413C,
YDR414C,
YDR415C,290.2
YDR416W,477.6
YDR417C,
YDR418W,620.4
YDR419W,
YDR420W,
YDR421W,
YDR422C,328.8
YDR423C,
YDR424C,492.3
YDR425W,493.1
YDR426C,
YDR427W,732.9
YDR428C,263.0
YDR429C,688.8
YDR430C,636.7
YDR431W,
YDR432W,595.1
YDR433W,
YDR434W,680.8
YDR435C,778.2
YDR436W,359.2
YDR437W,
YDR438W,
YDR439W,482.6
YDR440W,369.9
YDR441C,
YDR442W,
YDR443C,449.8
YDR444W,
YDR445C,
YDR446W,
YDR447C,575.0
YDR448W,
YDR449C,513.2
YDR450W,640.5
YDR451C,1293.4
YDR452W,323.9
YDR453C,281.6
YDR454C,640.2
YDR455C,
YDR456W,
YDR457W,472.8
YDR458C,494.3
YDR459C,
YDR460W,583.8
YDR461C-A,97.1
YDR461W,
YDR462W,
YDR463W,
YDR464C-A,
YDR464W,209.2
YDR465C,424.5
YDR466W,469.7
YDR467C,
YDR468C,448.4
YDR469W,531.7
YDR470C,
YDR471W,551.3
YDR472W,636.7
YDR473C,879.6
YDR474C,
YDR475C,
YDR476C,684.5
YDR477W,550.9
YDR478W,756.9
YDR479C,
YDR480W,531.4
YDR481C,530.7
YDR482C,
YDR483W,226.5
YDR484W,669.8
YDR485C,1622.3
YDR486C,
YDR487C,
YDR488C,
YDR489W,566.3
YDR490C,597.4
YDR491C,
YDR492W,144.1
YDR493W,533.8
YDR494W,271.0
YDR495C,601.7
YDR496C,608.9
YDR497C,22.1
YDR498C,647.5
YDR499W,470.4
YDR500C,564.1
YDR501W,
YDR502C,607.0
YDR503C,444.9
YDR504C,
YDR505C,297.7
YDR506C,
YDR507C,159.4
YDR508C,170.2
YDR509W,
YDR510C-A,
YDR510W,577.7
YDR511W,336.2
YDR512C,
YDR513W,454.7
YDR514C,
YDR515W,629.7
YDR516C,630.9
YDR517W,749.3
YDR518W,1184.3
YDR519W,301.4
YDR520C,
YDR521W,
YDR522C,
YDR523C,
YDR524C,353.5
YDR524C-A,
YDR524C-B,
YDR524W-C,
YDR525W,
YDR525WA,
YDR525W-A,
YDR526C,
YDR527W,564.8
YDR528W,
YDR529C,10.4
YDR530C,789.4
YDR531W,618.1
YDR532C,340.2
YDR533C,1870.0
YDR534C,
YDR535C,
YDR536W,
YDR537C,
YDR538W,
YDR539W,672.3
YDR540C,160.4
YDR541C,539.1
YDR542W,
YDR543C,
YDR544C,
YDR545C-A,
YDR545W,83.8
YEL001C,470.9
YEL002C,598.8
YEL003W,572.6
YEL004W,
YEL005C,
YEL006W,
YEL007W,321.3
YEL008C-A,
YEL008W,
YEL009C,
YEL009C-A,
YEL010W,
YEL011W,718.5
YEL012W,
YEL013W,610.8
YEL014C,
YEL015W,641.6
YEL016C,
YEL017CA,
YEL017C-A,
YEL017W,3270.1
YEL018C-A,
YEL018W,611.2
YEL019C,686.7
YEL020C,673.8
YEL020C-B,
YEL020WA,
YEL020W-A,505.8
YEL021W,
YEL022W,578.1
YEL023C,
YEL024W,316.9
YEL025C,
YEL026W,567.9
YEL027W,
YEL028W,
YEL029C,742.8
YEL030C-A,
YEL030W,
YEL031W,701.4
YEL032C-A,
YEL032W,352.8
YEL033W,
YEL034C-A,
YEL034W,546.0
YEL035C,
YEL036C,584.6
YEL037C,506.5
YEL038W,823.2
YEL039C,
YEL040W,175.5
YEL041W,
YEL042W,292.0
YEL043W,377.5
YEL044W,635.2
YEL045C,
YEL046C,429.4
YEL047C,693.5
YEL048C,371.0
YEL049W,
YEL050C,403.1
YEL050W-A,
YEL051W,740.7
YEL052W,310.1
YEL053C,
YEL053W-A,
YEL054C,620.4
YEL055C,623.9
YEL056W,546.6
YEL057C,
YEL058W,656.3
YEL059CA,
YEL059C-A,580.4
YEL059W,
YEL060C,1156.8
YEL061C,79.0
YEL062W,467.8
YEL063C,81.2
YEL064C,
YEL065W,
YEL066W,470.8
YEL067C,
YEL068C,
YEL069C,
YEL070W,
YEL071W,930.3
YEL072W,
YEL073C,
YEL074W,
YEL075C,83.8
YEL075W-A,
YEL076C,83.8
YEL076C-A,83.8
YEL076W-C,
YEL077C,83.8
YEL077W-A,
YER001W,153.4
YER002W,366.1
YER003C,793.3
YER004W,611.2
YER005W,596.3
YER006C-A,
YER006W,430.3
YER007CA,
YER007C-A,645.0
YER007W,463.1
YER008C,694.4
YER009W,533.4
YER010C,603.4
YER011W,
YER012W,759.4
YER013W,315.1
YER014C-A,
YER014W,499.6
YER015W,
YER016W,732.3
YER017C,385.2
YER018C,
YER019CA,
YER019C-A,360.3
YER019W,839.1
YER020W,541.8
YER021W,581.6
YER022W,550.7
YER023C-A,
YER023W,599.8
YER024W,
YER025W,541.3
YER026C,
YER027C,459.6
YER028C,
YER029C,665.0
YER030W,608.6
YER031C,579.9
YER032W,55.9
YER033C,
YER034W,440.2
YER035W,
YER036C,571.1
YER037W,
YER038C,
YER038W-A,
YER039C,
YER039CA,
YER039C-A,
YER040W,340.5
YER041W,
YER042W,613.6
YER043C,484.7
YER044C,1392.2
YER044CA,
YER044C-A,
YER045C,
YER046W,
YER046W-A,
YER047C,444.8
YER048C,554.2
YER048WA,
YER048W-A,403.3
YER049W,533.9
YER050C,210.8
YER051W,237.8
YER052C,976.5
YER053C,623.8
YER053C-A,
YER054C,
YER055C,1023.3
YER056C,53.3
YER056CA,
YER056C-A,
YER057C,551.4
YER058W,439.6
YER059W,338.0
YER060W,
YER060w-A,
YER060W-A,
YER061C,419.4
YER062C,711.4
YER063W,631.5
YER064C,
YER065C,62.1
YER066C-A,
YER066W,
YER067C-A,
YER067W,449.2
YER068C-A,
YER068W,519.9
YER069W,2659.9
YER070W,234.9
YER071C,815.9
YER072W,579.2
YER073W,739.6
YER074W,685.4
YER074W-A,
YER075C,234.5
YER076C,
YER076W-A,
YER077C,214.4
YER078C,448.3
YER078W-A,
YER079C-A,
YER079W,233.0
YER080W,527.4
YER081W,1005.9
YER082C,478.3
YER083C,519.7
YER084W,
YER084W-A,
YER085C,
YER086W,491.0
YER087C-A,
YER087C-B,656.9
YER087W,364.7
YER088C,178.5
YER088C-A,
YER088W-B,
YER089C,497.2
YER090C-A,
YER090W,632.5
YER091C,450.7
YER091C-A,
YER092W,380.5
YER093C,
YER093CA,
YER093C-A,
YER094C,525.6
YER095W,205.7
YER096W,
YER097W,
YER098W,
YER099C,647.0
YER100W,83.1
YER101C,647.4
YER102W,586.1
YER103W,
YER104W,
YER105C,605.7
YER106W,
YER107C,628.1
YER107W-A,
YER108C,
YER109C,
YER110C,559.4
YER111C,343.9
YER112W,613.9
YER113C,547.5
YER114C,341.9
YER115C,
YER116C,
YER117W,1145.7
YER118C,
YER119C,
YER119CA,
YER119C-A,
YER120W,642.5
YER121W,
YER122C,553.3
YER123W,
YER124C,
YER125W,465.3
YER126C,181.3
YER127W,657.3
YER128W,307.6
YER129W,2823.0
YER130C,
YER131W,674.6
YER132C,567.5
YER133W,942.7
YER133W-A,
YER134C,558.9
YER135C,
YER136W,660.3
YER137C,508.1
YER137W-A,
YER138C,
YER138WA,
YER138W-A,
YER139C,346.5
YER140W,
YER141W,1949.7
YER142C,
YER143W,371.9
YER144C,
YER145C,304.6
YER145C-A,
YER146W,566.3
YER147C,1083.7
YER147C-A,
YER148W,285.4
YER148W-A,
YER149C,569.6
YER150W,
YER151C,619.4
YER152C,1092.9
YER152W-A,
YER153C,
YER154W,674.6
YER155C,409.0
YER156C,694.9
YER157W,590.2
YER158C,
YER158W-A,
YER159C,417.9
YER160C,
YER161C,290.2
YER162C,86.2
YER163C,604.6
YER164W,
YER165C-A,
YER165W,578.2
YER166W,562.1
YER167W,141.9
YER168C,561.9
YER169W,396.7
YER170W,167.8
YER171W,501.6
YER172C,452.5
YER172C-A,
YER173W,
YER174C,593.2
YER175C,
YER175W-A,
YER176W,725.7
YER177W,696.5
YER178W,517.6
YER179W,
YER180C,
YER180C-A,330.7
YER181C,
YER182W,585.6
YER183C,596.6
YER184C,
YER185W,
YER186C,
YER187W,
YER188C-A,
YER188W,
YER189W,83.8
YER190C-A,
YER190C-B,
YER190W,83.8
YFL001W,496.8
YFL002C,445.4
YFL002W-A,
YFL002W-B,
YFL003C,
YFL004W,612.6
YFL005W,591.5
YFL006W,
YFL007W,350.5
YFL008W,515.1
YFL009W,60.6
YFL010C,452.8
YFL010W-A,
YFL011W,
YFL011W-A,
YFL012W,
YFL012W-A,
YFL013C,493.7
YFL013W-A,
YFL014W,543.7
YFL015C,
YFL015W-A,
YFL016C,707.1
YFL017C,628.6
YFL017WA,
YFL017W-A,527.4
YFL018C,598.5
YFL018W-A,
YFL019C,
YFL020C,
YFL021C-A,
YFL021W,170.3
YFL022C,738.8
YFL023W,476.0
YFL024C,478.7
YFL025C,
YFL026W,
YFL027C,454.8
YFL028C,640.7
YFL029C,1013.6
YFL030W,
YFL031C-A,
YFL031W,
YFL032W,
YFL033C,331.7
YFL034CA,
YFL034C-A,590.8
YFL034CB,
YFL034C-B,343.1
YFL034W,491.6
YFL035C,
YFL035C-A,
YFL035C-B,
YFL036W,169.4
YFL037W,667.0
YFL038C,656.0
YFL039C,625.5
YFL040W,
YFL041W,339.8
YFL041W-A,
YFL042C,326.2
YFL043C,
YFL044C,428.6
YFL045C,648.8
YFL046W,463.8
YFL047W,468.5
YFL048C,432.5
YFL049W,499.8
YFL050C,302.6
YFL051C,
YFL052W,
YFL053W,
YFL054C,
YFL055W,
YFL056C,
YFL057C,
YFL058W,
YFL059W,
YFL060C,
YFL061W,
YFL062W,
YFL063W,
YFL064C,83.8
YFL065C,83.8
YFL066C,83.8
YFL067W,
YFL068W,
YFL-TYA,
YFL-TYB,
YFR001W,566.9
YFR002W,613.6
YFR003C,
YFR004W,615.0
YFR005C,422.0
YFR006W,633.0
YFR007W,645.4
YFR008W,486.8
YFR009W,623.3
YFR009W-A,
YFR010W,554.0
YFR010W-A,
YFR011C,315.4
YFR012W,
YFR012W-A,
YFR013W,
YFR014C,524.7
YFR015C,5118.1
YFR016C,528.4
YFR017C,
YFR018C,
YFR019W,406.0
YFR020W,
YFR021W,599.6
YFR022W,
YFR023W,
YFR024C,
YFR024CA,
YFR024C-A,776.4
YFR025C,567.5
YFR026C,
YFR027W,
YFR028C,524.3
YFR029W,260.3
YFR030W,472.8
YFR031C,
YFR031CA,
YFR031C-A,583.6
YFR032C,
YFR032CA,
YFR032C-A,729.1
YFR032C-B,
YFR033C,842.5
YFR034C,171.7
YFR034W-A,
YFR035C,
YFR036W,236.0
YFR036W-A,
YFR037C,591.6
YFR038W,232.3
YFR039C,326.3
YFR040W,522.3
YFR041C,458.2
YFR042W,
YFR043C,340.7
YFR044C,647.2
YFR045W,
YFR046C,
YFR047C,516.2
YFR048W,
YFR049W,300.0
YFR050C,742.9
YFR051C,745.2
YFR052C-A,
YFR052W,657.0
YFR053C,681.9
YFR054C,
YFR055W,
YFR056C,
YFR057W,
YGL001C,723.2
YGL002W,335.7
YGL003C,
YGL004C,334.9
YGL005C,572.0
YGL006W,360.1
YGL006W-A,
YGL007C-A,
YGL007W,
YGL008C,328.1
YGL009C,1384.7
YGL010W,
YGL011C,636.9
YGL012W,721.1
YGL013C,684.3
YGL014C-A,
YGL014W,597.0
YGL015C,
YGL016W,542.5
YGL017W,241.3
YGL018C,853.8
YGL019W,712.1
YGL020C,486.4
YGL021W,65.7
YGL022W,501.3
YGL023C,569.5
YGL024W,
YGL025C,410.2
YGL026C,843.9
YGL027C,370.8
YGL028C,188.5
YGL029W,258.2
YGL030W,605.3
YGL031C,595.6
YGL032C,
YGL033W,
YGL034C,
YGL035C,222.8
YGL036W,237.1
YGL037C,1025.1
YGL038C,220.7
YGL039W,2543.9
YGL040C,999.5
YGL041C,
YGL041C-B,
YGL041W-A,499.8
YGL042C,
YGL043W,568.7
YGL044C,
YGL045W,
YGL046W,
YGL047W,629.0
YGL048C,713.7
YGL049C,702.4
YGL050W,550.0
YGL051W,398.6
YGL052W,
YGL053W,209.2
YGL054C,
YGL055W,390.3
YGL056C,495.8
YGL057C,227.7
YGL058W,
YGL059W,
YGL060W,570.9
YGL061C,419.2
YGL062W,635.4
YGL063C-A,
YGL063W,
YGL064C,438.7
YGL065C,535.9
YGL066W,287.9
YGL067W,836.9
YGL068W,524.1
YGL069C,
YGL070C,
YGL071W,
YGL072C,
YGL073W,626.7
YGL074C,
YGL075C,310.0
YGL076C,577.8
YGL077C,120.0
YGL078C,505.1
YGL079W,
YGL080W,326.1
YGL081W,
YGL082W,644.5
YGL083W,501.2
YGL084C,
YGL085W,
YGL086W,553.0
YGL087C,629.7
YGL088W,
YGL089C,
YGL090W,
YGL091C,375.1
YGL092W,542.7
YGL093W,351.4
YGL094C,648.4
YGL095C,439.9
YGL096W,
YGL097W,606.5
YGL098W,353.4
YGL099W,613.2
YGL100W,573.8
YGL101W,466.7
YGL102C,
YGL103W,604.6
YGL104C,
YGL105W,637.9
YGL106W,568.6
YGL107C,
YGL108C,571.6
YGL109W,
YGL110C,607.5
YGL111W,526.7
YGL112C,522.1
YGL113W,
YGL114W,
YGL115W,695.2
YGL116W,
YGL117W,1081.2
YGL118C,
YGL119W,576.0
YGL120C,554.0
YGL121C,
YGL122C,551.9
YGL123C-A,
YGL123W,615.6
YGL124C,642.0
YGL125W,568.9
YGL126W,
YGL127C,
YGL128C,
YGL129C,333.1
YGL130W,641.4
YGL131C,
YGL132W,
YGL133W,532.0
YGL134W,
YGL135W,607.6
YGL136C,
YGL137W,626.2
YGL138C,
YGL139W,306.7
YGL140C,
YGL141W,485.9
YGL142C,
YGL143C,825.9
YGL144C,414.5
YGL145W,539.6
YGL146C,
YGL147C,638.2
YGL148W,704.7
YGL149W,
YGL150C,410.3
YGL151W,609.0
YGL152C,
YGL153W,402.8
YGL154C,755.5
YGL155W,599.3
YGL156W,
YGL157W,593.1
YGL158W,
YGL159W,626.0
YGL160W,
YGL161C,659.3
YGL162W,
YGL163C,
YGL164C,585.7
YGL165C,
YGL166W,
YGL167C,612.3
YGL168W,
YGL169W,760.2
YGL170C,
YGL171W,402.0
YGL172W,739.1
YGL173C,662.0
YGL174W,389.0
YGL175C,
YGL176C,
YGL177W,
YGL178W,176.8
YGL179C,
YGL180W,2007.2
YGL181W,414.3
YGL182C,
YGL183C,
YGL184C,
YGL185C,956.6
YGL186C,
YGL187C,315.9
YGL188C,
YGL188C-A,
YGL189C,613.4
YGL190C,528.0
YGL191W,136.9
YGL192W,
YGL193C,
YGL194C,271.9
YGL194C-A,
YGL195W,653.3
YGL196W,809.3
YGL197W,444.6
YGL198W,
YGL199C,
YGL200C,767.0
YGL201C,517.1
YGL202W,752.8
YGL203C,237.8
YGL204C,
YGL205W,
YGL206C,624.6
YGL207W,859.1
YGL208W,666.3
YGL209W,
YGL210W,616.9
YGL211W,851.6
YGL212W,88538.2
YGL213C,627.4
YGL214W,
YGL215W,
YGL216W,301.6
YGL217C,
YGL218W,
YGL219C,32.1
YGL220W,570.1
YGL221C,600.7
YGL222C,81.8
YGL223C,467.8
YGL224C,701.5
YGL225W,278.0
YGL226CA,
YGL226C-A,368.8
YGL226W,
YGL227W,494.1
YGL228W,487.8
YGL229C,
YGL230C,
YGL231C,529.2
YGL232W,605.5
YGL233W,569.4
YGL234W,574.0
YGL235W,
YGL236C,495.8
YGL237C,308.1
YGL238W,572.2
YGL239C,
YGL240W,
YGL241W,541.3
YGL242C,1313.0
YGL243W,148.7
YGL244W,293.2
YGL245W,652.5
YGL246C,687.6
YGL247W,
YGL248W,
YGL249W,
YGL250W,
YGL251C,
YGL252C,677.8
YGL253W,1069.2
YGL254W,404.0
YGL255W,
YGL256W,
YGL257C,
YGL258W,
YGL258W-A,
YGL259W,
YGL260W,
YGL261C,
YGL262W,
YGL263W,
YGR001C,614.6
YGR002C,407.7
YGR003W,1466.9
YGR004W,
YGR005C,534.9
YGR006W,604.3
YGR007W,764.8
YGR008C,221.2
YGR009C,456.6
YGR010W,640.7
YGR011W,
YGR012W,693.2
YGR013W,453.1
YGR014W,
YGR015C,
YGR016W,
YGR017W,628.1
YGR018C,
YGR019W,555.4
YGR020C,638.7
YGR021W,530.4
YGR022C,
YGR023W,
YGR024C,386.0
YGR025W,
YGR026W,355.1
YGR027C,
YGR027W-A,
YGR027W-B,
YGR028W,260.9
YGR029W,499.2
YGR030C,504.6
YGR031C-A,
YGR031W,821.4
YGR032W,214.4
YGR033C,440.4
YGR034W,630.9
YGR035C,
YGR035W-A,
YGR036C,
YGR037C,733.0
YGR038C-A,
YGR038C-B,
YGR038W,425.6
YGR039W,
YGR040W,497.8
YGR041W,349.1
YGR042W,280.6
YGR043C,1826.9
YGR044C,56.9
YGR045C,
YGR046W,50.2
YGR047C,440.9
YGR048W,573.4
YGR049W,657.3
YGR050C,
YGR051C,
YGR052W,
YGR053C,
YGR054W,637.9
YGR055W,34.2
YGR056W,
YGR057C,440.2
YGR058W,286.1
YGR059W,
YGR060W,163.3
YGR061C,554.5
YGR062C,673.7
YGR063C,
YGR064W,
YGR065C,
YGR066C,
YGR067C,
YGR068C,529.4
YGR068W-A,
YGR069W,
YGR070W,
YGR071C,
YGR072W,525.0
YGR073C,
YGR074W,
YGR075C,446.3
YGR076C,325.9
YGR077C,
YGR078C,578.5
YGR079W,
YGR080W,698.1
YGR081C,237.7
YGR082W,558.6
YGR083C,590.8
YGR084C,375.9
YGR085C,619.3
YGR086C,381.6
YGR087C,
YGR088W,6525.3
YGR089W,354.7
YGR090W,677.4
YGR091W,418.3
YGR092W,347.8
YGR093W,489.7
YGR094W,726.9
YGR095C,585.7
YGR096W,
YGR097W,517.7
YGR098C,
YGR099W,525.4
YGR100W,774.3
YGR101W,
YGR102C,251.0
YGR103W,494.6
YGR104C,
YGR105W,
YGR106C,54.0
YGR107W,
YGR108W,
YGR109C,
YGR109W-A,
YGR109W-B,
YGR110W,
YGR111W,14.3
YGR112W,
YGR113W,533.4
YGR114C,
YGR115C,
YGR116W,587.1
YGR117C,498.0
YGR118W,615.3
YGR119C,684.3
YGR120C,454.7
YGR121C,
YGR121W-A,
YGR122C-A,
YGR122W,541.1
YGR123C,521.0
YGR124W,632.3
YGR125W,2438.9
YGR126W,441.8
YGR127W,729.0
YGR128C,510.7
YGR129W,351.7
YGR130C,294.1
YGR131W,
YGR132C,527.8
YGR133W,
YGR134W,523.1
YGR135W,575.1
YGR136W,249.0
YGR137W,
YGR138C,300.7
YGR139W,
YGR140W,708.9
YGR141W,108.8
YGR142W,
YGR143W,
YGR144W,
YGR145W,389.1
YGR146C,
YGR146C-A,
YGR147C,532.2
YGR148C,565.0
YGR149W,
YGR150C,410.7
YGR151C,
YGR152C,532.1
YGR153W,
YGR154C,
YGR155W,616.6
YGR156W,483.7
YGR157W,452.7
YGR158C,600.0
YGR159C,498.3
YGR160W,
YGR161C,
YGR161C-D,
YGR161W-A,
YGR161W-B,
YGR161W-C,
YGR162W,541.5
YGR163W,519.8
YGR164W,
YGR165W,365.0
YGR166W,501.3
YGR167W,587.7
YGR168C,
YGR169C,
YGR169C-A,462.7
YGR170W,
YGR171C,884.1
YGR172C,
YGR173W,479.7
YGR174C,599.5
YGR174W-A,
YGR175C,83.3
YGR176W,
YGR177C,19750.7
YGR178C,231.7
YGR179C,1748.6
YGR180C,735.2
YGR181W,495.9
YGR182C,
YGR183C,265.4
YGR184C,359.3
YGR185C,638.2
YGR186W,441.5
YGR187C,748.8
YGR188C,
YGR189C,192.4
YGR190C,
YGR191W,95.9
YGR192C,769.3
YGR193C,541.7
YGR194C,602.9
YGR195W,614.3
YGR196C,
YGR197C,
YGR198W,569.5
YGR199W,10128.2
YGR200C,547.7
YGR201C,1717.6
YGR202C,543.9
YGR203W,615.3
YGR204C-A,
YGR204W,794.3
YGR205W,461.8
YGR206W,
YGR207C,458.5
YGR208W,641.7
YGR209C,494.9
YGR210C,577.3
YGR211W,669.8
YGR212W,
YGR213C,
YGR214W,
YGR215W,275.7
YGR216C,
YGR217W,
YGR218W,724.7
YGR219W,
YGR220C,473.8
YGR221C,
YGR222W,420.2
YGR223C,572.7
YGR224W,
YGR225W,
YGR226C,
YGR227W,
YGR228W,
YGR229C,448.0
YGR230W,
YGR231C,426.1
YGR232W,640.5
YGR233C,550.5
YGR234W,1022.3
YGR235C,207.8
YGR236C,
YGR237C,422.9
YGR238C,
YGR239C,
YGR240C,766.0
