,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2
VPS25,-0.00105379,0.936724,-0.000138372,0.936724,-0.0512265,0.289773,-0.0477602,0.289773,0,0
OPI3,0.0142841,0.30467,0.00491538,0.30467,-0.0828899,0.0109683,-0.111894,0.0109683,0,0
CHO2,-0.0047856,0.72127,-0.00133047,0.72127,-0.0291977,0.49558,-0.0315253,0.49558,0,0
CTK1,-0.0186247,0.560529,-0.0194872,0.560529,0.0042756,0.759527,0.00110864,0.759527,0,0
ELP3,-0.00210593,0.871306,-0.000343191,0.871306,-0.0673708,0.35959,-0.0568825,0.35959,0,0
NUP133,0.00214409,0.871667,0.000421428,0.871667,-0.0969347,0.0450424,-0.0658644,0.0450424,0,0
CTF8,-0.0813608,6.00848E-10,-0.00710575,6.00848E-10,0.036529,0.505211,0.0158387,0.505211,6.37676,0
DOA4,0.0236,0.0790969,0.00381813,0.0790969,-0.0302663,0.4708,-0.0167039,0.4708,0,0
BRE2,-0.0966815,0.0842089,-0.0670284,0.0842089,-0.00692648,0.598329,-0.000983262,0.598329,0,0
SWD1,-0.0778515,0.160158,-0.0530829,0.160158,-0.00939231,0.475274,-0.00139543,0.475274,0,0
SPP1,0.0626742,0.304857,0.0265023,0.304857,0.0265184,0.0427716,0.00303122,0.0427716,0,0
SET1,-0.032137,0.0149051,-0.00484946,0.0149051,-0.0989268,0.0579677,-0.0516982,0.0579677,0,0
HFI1,-0.0115453,0.394346,-0.00287062,0.394346,-0.0594957,0.126203,-0.0704039,0.126203,0,0
SWD3,-0.00548969,0.677988,-0.000875368,0.677988,-0.0536712,0.294148,-0.0380907,0.294148,0,0
SDC1,-0.0906012,0.0943632,-0.0539572,0.0943632,0.00968247,0.462324,0.00135414,0.462324,0,0
BIM1,-0.0220799,0.0971322,-0.00216234,0.0971322,0.0220947,0.636096,0.00910451,0.636096,0,0
BUD13,0.0700498,0.169602,0.0380529,0.169602,0.0197755,0.134762,0.00277996,0.134762,0,0
BRR1,-0.0441458,0.311307,-0.0175335,0.311307,0.0240788,0.0721185,0.00197881,0.0721185,0,0
BUD22,0.0105775,0.844127,0.00717159,0.844127,0.00530624,0.687246,0.000841236,0.687246,0,0
BUD20,0.0123649,0.350168,0.00127242,0.350168,-0.0298138,0.554157,-0.0138932,0.554157,0,0
IBA57,-8.17688E-05,0.995128,-1.67557E-05,0.995128,-0.112989,0.00943171,-0.109882,0.00943171,0,0
CAR2,-0.0230803,0.0771317,-0.00196937,0.0771317,-0.00984185,0.87919,-0.00696528,0.87919,0,0
SRV2,0.0261403,0.0547803,0.00673518,0.0547803,-0.0271122,0.47136,-0.0241509,0.47136,0,0
BUD21,0.00851888,0.515626,0.000980922,0.515626,0.0387305,0.517898,0.0264702,0.517898,0,0
CCE1,-0.0815265,0.0167875,-0.0385876,0.0167875,0.0105281,0.445787,0.00114805,0.445787,0,0
CDC40,0.00157647,0.973906,0.00136505,0.973906,0.0388638,0.00341247,0.0084752,0.00341247,0,0
SSN3,0.0138834,0.299349,0.00326222,0.299349,-0.0755388,0.0861863,-0.0927124,0.0861863,0,0
CGR1,0.0411719,0.502126,0.0245439,0.502126,-0.000959635,0.941557,-9.85964E-05,0.941557,0,0
CHL1,-0.0175793,0.183082,-0.0011522,0.183082,0.0877371,0.0919504,0.0229391,0.0919504,0,0
CGI121,0.104966,0.056424,0.0677061,0.056424,-0.00242258,0.853953,-0.000334825,0.853953,0,0
CIN8,-0.00878538,0.513716,-0.000848902,0.513716,0.0231881,0.577643,0.00906752,0.577643,0,0
CKB1,-0.0212722,0.683799,-0.0144071,0.683799,-0.129706,5.91945E-23,-0.0138344,5.91945E-23,0,19.3832418
CKA2,-0.0124741,0.349932,-0.00149448,0.349932,-0.0118925,0.792867,-0.00838547,0.792867,0,0
CLB5,-0.150508,1.07544E-30,-0.0157274,1.07544E-30,-0.0118878,0.833545,-0.00482164,0.833545,27.1239,0
CLB2,-0.0185129,0.162076,-0.00139093,0.162076,0.025311,0.612867,0.00981529,0.612867,0,0
CKB2,-0.0927289,1.74927E-12,-0.0122853,1.74927E-12,-0.0389363,0.471644,-0.0320884,0.471644,8.91267,0
CLA4,0.00103052,0.987276,0.000514578,0.987276,-0.0215779,0.0984642,-0.00169043,0.0984642,0,0
CLB1,0.0580874,0.315981,0.0294787,0.315981,0.000819535,0.950214,6.62998E-05,0.950214,0,0
CLN3,-0.0439156,0.00134721,-0.00377159,0.00134721,0.0117773,0.742445,0.00419734,0.742445,0.0260879,0
CLN2,0.030159,0.643417,0.0129818,0.643417,0.0518414,7.08654E-05,0.00289879,7.08654E-05,0,1.3050885
CSM1,-0.024437,0.0631387,-0.00231219,0.0631387,-0.0465269,0.403887,-0.0274102,0.403887,0,0
CTF18,-0.0804275,2.26827E-09,-0.00895224,2.26827E-09,0.0228297,0.577083,0.00937033,0.577083,5.79983,0
CTF19,-0.0212566,0.104379,-0.00141499,0.104379,0.101952,0.0951768,0.0305197,0.0951768,0,0
CSM3,0.214479,0.035869,0.109043,0.035869,-0.0397714,0.00204181,-0.00328936,0.00204181,0,0
CTF4,-0.00241742,0.857928,-0.000341964,0.857928,-0.0456841,0.255646,-0.0230282,0.255646,0,0
SSN8,0.0129947,0.33183,0.00243597,0.33183,-0.0747315,0.0862484,-0.0850967,0.0862484,0,0
DCC1,-0.0786102,3.93812E-09,-0.00854544,3.93812E-09,0.0286556,0.516843,0.0108428,0.516843,5.56023,0
DBR1,-0.0261752,0.044925,-0.00278069,0.044925,0.000501248,0.993876,0.000241341,0.993876,0,0
DCS1,-0.0256047,0.619721,-0.0127682,0.619721,-0.0195362,0.13927,-0.00162541,0.13927,0,0
DBP3,0.0208793,0.114857,0.00265088,0.114857,-0.0604488,0.225957,-0.0347335,0.225957,0,0
DDR48,0.0338717,0.565637,0.0242189,0.565637,0.0264675,0.0435316,0.00190812,0.0435316,0,0
DHH1,0.00945742,0.472718,0.00196278,0.472718,-0.0718487,0.186283,-0.0641344,0.186283,0,0
DIG1,-0.0410346,0.383049,-0.0390679,0.383049,0.00720961,0.587852,0.00122885,0.587852,0,0
DEG1,-0.00755392,0.568209,-0.001027,0.568209,0.00836882,0.86798,0.00565193,0.86798,0,0
DIG2,-0.0312975,0.71757,-0.0121699,0.71757,0.0020195,0.876018,0.000120635,0.876018,0,0
DSS1,0.104975,0.085713,0.0444919,0.085713,-0.0438445,0.000805453,-0.00311484,0.000805453,0,0.2494828
DPB3,-0.0314463,0.0165662,-0.00282212,0.0165662,0.0116128,0.840978,0.00455769,0.840978,0,0
DST1,0.0218255,0.0949988,0.00206714,0.0949988,-0.0623169,0.32255,-0.031386,0.32255,0,0
DUN1,-0.0884099,2.41872E-11,-0.00814206,2.41872E-11,-0.0651718,0.181989,-0.0303071,0.181989,7.77194,0
EBS1,-0.0250504,0.0624548,-0.00192571,0.0624548,0.00460128,0.912334,0.00106778,0.912334,0,0
EDC1,-0.00519216,0.691086,-0.000466663,0.691086,-0.0207557,0.745498,-0.013817,0.745498,0,0
EFG1,0.0208952,0.116409,0.00255184,0.116409,-0.0457768,0.327262,-0.0305071,0.327262,0,0
ELG1,-0.0905974,4.76436E-12,-0.00629274,4.76436E-12,-0.131898,0.0207929,-0.0611608,0.0207929,8.47752,0
ELF1,0.0208744,0.109667,0.00367918,0.109667,0.00864166,0.895615,0.00712474,0.895615,0,0
ELM1,0.0362539,0.523466,0.0204117,0.523466,-0.0179514,0.171825,-0.00232624,0.171825,0,0
ERF2,-0.0171497,0.189418,-0.00126021,0.189418,-0.00526033,0.934045,-0.00244928,0.934045,0,0
ERG2,0.0140456,0.748155,0.0093876,0.748155,-0.00141512,0.915817,-0.000166464,0.915817,0,0
EST1,0.051551,0.339037,0.0230896,0.339037,0.0156508,0.234939,0.00110399,0.234939,0,0
EXO1,4.20796E-05,0.997435,3.22338E-06,0.997435,-0.069987,0.255341,-0.0440663,0.255341,0,0
FAB1,-0.0184652,0.158944,-0.00188817,0.158944,-0.00551501,0.926015,-0.00344878,0.926015,0,0
FKS1,-0.00395425,0.768037,-0.000545762,0.768037,-0.0545903,0.204888,-0.0349189,0.204888,0,0
GEP3,0.0267246,0.0496015,0.00495154,0.0496015,-0.121837,0.00115184,-0.094216,0.00115184,0,0.0941315
FIN1,0.00964091,0.905228,0.00541402,0.905228,-0.00469647,0.717161,-0.000328451,0.717161,0,0
FRA2,0.0476502,0.000251462,0.00221011,0.000251462,-0.0542561,0.435249,-0.0310763,0.435249,0.755051,0
GAL80,-0.0343302,0.762412,-0.0267959,0.762412,0.00869808,0.499589,0.000570079,0.499589,0,0
FUS3,0.0319879,0.584229,0.0269481,0.584229,-0.0137927,0.293106,-0.00180716,0.293106,0,0
GCR2,-0.0324355,0.0151825,-0.00462377,0.0151825,-0.0275173,0.537667,-0.0201031,0.537667,0,0
GPA2,0.00698748,0.599924,0.000692899,0.599924,0.0263306,0.569076,0.0149795,0.569076,0,0
GPR1,0.0290302,0.0299136,0.0041095,0.0299136,-0.0664778,0.132664,-0.0513031,0.132664,0,0
GPG1,0.0631108,0.424961,0.0288876,0.424961,-0.0154159,0.234657,-0.00161775,0.234657,0,0
GPH1,-0.0268098,0.570119,-0.0125068,0.570119,0.0160634,0.227092,0.00133794,0.227092,0,0
GIS4,0.0173628,0.773184,0.00890919,0.773184,-0.000826795,0.949678,-7.00991E-05,0.949678,0,0
GTR1,-0.0154703,0.751051,-0.010246,0.751051,-0.0222907,0.0928821,-0.00202588,0.0928821,0,0
GSY2,-0.0191935,0.139783,-0.00165331,0.139783,0.0434255,0.555103,0.0227494,0.555103,0,0
GSY1,0.066252,0.514696,0.0331029,0.514696,-0.0436989,0.000703852,-0.00352846,0.000703852,0,0.3080414
HAP4,-0.0044419,0.731972,-0.000466706,0.731972,-0.123692,0.120337,-0.0760204,0.120337,0,0
HCR1,-0.0097421,0.861755,-0.00678441,0.861755,-0.0303112,0.0211398,-0.00428939,0.0211398,0,0
HFM1,-0.00724502,0.585026,-0.000792526,0.585026,-0.0787769,0.105266,-0.0412651,0.105266,0,0
HHT1,-0.0768836,4.03162E-09,-0.00502138,4.03162E-09,-0.0603804,0.32566,-0.0211042,0.32566,5.55004,0
HNT3,0.0109811,0.831707,0.00443442,0.831707,0.0161293,0.222182,0.00117829,0.222182,0,0
HOG1,0.049124,0.355398,0.0245224,0.355398,-0.0104116,0.429869,-0.000781,0.429869,0,0
HHF1,-0.0579828,9.17651E-06,-0.00442435,9.17651E-06,0.0204925,0.741288,0.00573896,0.741288,2.19285,0
HOS3,-0.0923311,0.131636,-0.0385558,0.131636,-0.0172947,0.186381,-0.00124889,0.186381,0,0
HOM2,-0.0214373,0.640132,-0.0110794,0.640132,0.00210896,0.874305,0.000220252,0.874305,0,0
HUR1,0.0248103,0.0657167,0.00353564,0.0657167,-0.0498765,0.220949,-0.0294716,0.220949,0,0
KKQ8,-0.00142359,0.914331,-9.81026E-05,0.914331,0.000517887,0.991824,0.00019438,0.991824,0,0
INP52,-0.0176884,0.742658,-0.0107228,0.742658,-0.0139953,0.288242,-0.00164419,0.288242,0,0
IRC3,0.0112683,0.40957,0.0015981,0.40957,-0.107276,0.00328742,-0.0649014,0.00328742,0,0
IRE1,-0.0105566,0.421105,-0.00145855,0.421105,0.172392,0.00287523,0.102077,0.00287523,0,0
IRA2,-0.00405712,0.904067,-0.00281337,0.904067,0.0075512,0.585373,0.00165983,0.585373,0,0
IPK1,-0.0330929,0.0141404,-0.00590299,0.0141404,-0.0121389,0.764783,-0.0111848,0.764783,0,0
IRA1,-0.0189683,0.155783,-0.00252301,0.155783,0.00745051,0.867226,0.00573868,0.867226,0,0
JJJ1,0.022562,0.0970508,0.00217461,0.0970508,-0.0794538,0.0359765,-0.0322811,0.0359765,0,0
IST3,-0.0355135,0.379298,-0.0161056,0.379298,0.0413532,0.00217511,0.00467902,0.00217511,0,0
IRS4,-0.00305079,0.816966,-0.000237418,0.816966,0.0076503,0.886757,0.0038754,0.886757,0,0
JNM1,-0.0236633,0.0714225,-0.00226896,0.0714225,-0.12422,0.0309173,-0.0479141,0.0309173,0,0
KAR3,-0.0217812,0.0971007,-0.00301801,0.0971007,-0.0111434,0.846569,-0.0105694,0.846569,0,0
RRD1,0.106817,0.031622,0.0419147,0.031622,-0.0423468,0.0013819,-0.00342762,0.0013819,0,0.0150465
RRP8,0.0165676,0.204732,0.0016692,0.204732,-0.0987097,0.122567,-0.051956,0.122567,0,0
RSA1,-0.00930709,0.845299,-0.00717707,0.845299,-0.0301829,0.0231005,-0.00586749,0.0231005,0,0
RRP6,0.0953842,0.0702735,0.0847406,0.0702735,-0.0145982,0.268555,-0.00259719,0.268555,0,0
RRM3,-0.045141,0.000562216,-0.00408877,0.000562216,0.0962789,0.113139,0.0496604,0.113139,0.405619,0
RPB9,-0.0660431,0.0907524,-0.0722781,0.0907524,-0.00227106,0.866881,-0.000571516,0.866881,0,0
RNY1,-0.030031,0.472705,-0.0197506,0.472705,-0.00196836,0.88362,-0.000315509,0.88362,0,0
RPA49,0.0216974,0.0957366,0.00305201,0.0957366,-0.0483335,0.484976,-0.0313181,0.484976,0,0
RPA14,-0.0203717,0.122381,-0.00176574,0.122381,-0.0704165,0.185598,-0.0292396,0.185598,0,0
RPA12,-0.00731068,0.581962,-0.000777426,0.581962,-0.0199439,0.678635,-0.0104957,0.678635,0,0
RNR4,-0.0708045,1.13295E-07,-0.0131226,1.13295E-07,-0.046948,0.291387,-0.0338987,0.291387,4.10131,0
RMI1,0.0015924,0.904027,0.000155544,0.904027,0.00456968,0.930098,0.00214338,0.930098,0,0
RIM1,0.0243539,0.0663633,0.00493887,0.0663633,-0.192364,6.83707E-05,-0.156687,6.83707E-05,0,1.3206531
RGP1,0.00479945,0.722967,0.000896655,0.722967,-0.0761318,0.0525538,-0.065595,0.0525538,0,0
RGT2,0.0229479,0.0794587,0.00169534,0.0794587,-0.110346,0.0729266,-0.0528298,0.0729266,0,0
RIC1,0.00915918,0.491594,0.00111434,0.491594,-0.0765895,0.0986721,-0.0464211,0.0986721,0,0
RIF1,-0.0162393,0.819914,-0.0057338,0.819914,-0.00595649,0.647136,-0.000296855,0.647136,0,0
REG1,0.019291,0.151469,0.00491054,0.151469,-0.0132494,0.750799,-0.0158886,0.750799,0,0
REV3,0.0450545,0.515113,0.0143956,0.515113,-0.0161238,0.215756,-0.000916709,0.215756,0,0
RCE1,0.0663113,0.384651,0.0256012,0.384651,0.00760484,0.558107,0.000767816,0.558107,0,0
RAS2,-0.00775178,0.555611,-0.000594132,0.555611,0.000791815,0.988672,0.000363803,0.988672,0,0
RAI1,-0.000825637,0.950868,-0.000142684,0.950868,-0.0234406,0.588515,-0.0168753,0.588515,0,0
RAM1,0.00706865,0.597429,0.00254244,0.597429,-0.061173,0.162432,-0.0868049,0.162432,0,0
RAD57,-0.0254009,0.0555461,-0.00244967,0.0555461,0.00867458,0.858481,0.00356962,0.858481,0,0
RAD54,0.0302243,0.599633,0.013106,0.599633,-0.0172489,0.188917,-0.00192149,0.188917,0,0
RAD50,-0.00636813,0.631673,-0.00103024,0.631673,-0.0363474,0.447989,-0.0212861,0.447989,0,0
RAD55,0.00712193,0.894531,0.00217633,0.894531,-0.0227937,0.0837248,-0.00158744,0.0837248,0,0
RAD52,-0.0465699,0.280472,-0.0238245,0.280472,-0.00271,0.839782,-0.000386352,0.839782,0,0
RAD27,-0.0221094,0.0964802,-0.00307732,0.0964802,-0.023595,0.61607,-0.0154905,0.61607,0,0
RAD1,0.0295911,0.590526,0.0163027,0.590526,-0.0292691,0.0261443,-0.00308191,0.0261443,0,0
PUS7,0.049442,0.000149549,0.00447994,0.000149549,0.0118001,0.858732,0.00596645,0.858732,0.98074,0
PUF4,0.0107598,0.409298,0.000842611,0.409298,0.123095,0.0659143,0.052554,0.0659143,0,0
PUS1,-0.000111079,0.998255,-7.17905E-05,0.998255,-0.0200973,0.128662,-0.00218573,0.128662,0,0
PUF6,0.0181443,0.1712,0.00198928,0.1712,-0.0873501,0.0744335,-0.0487617,0.0744335,0,0
PUS9,0.0889117,0.407344,0.0303508,0.407344,0.0125935,0.328677,0.000766895,0.328677,0,0
PUF3,-0.0370843,0.00511956,-0.00236483,0.00511956,0.0905356,0.0670452,0.0261556,0.0670452,0,0
PTK2,-0.0354476,0.00665614,-0.00274597,0.00665614,0.0647212,0.310036,0.0283108,0.310036,0,0
PTP3,-0.128625,0.0409273,-0.0699954,0.0409273,0.00212662,0.870773,0.000177553,0.870773,0,0
PSY2,-0.0355712,0.00644098,-0.0034238,0.00644098,0.0119053,0.853817,0.00628347,0.853817,0,0
PTC1,-0.0005673,0.98859,-0.000392753,0.98859,-0.0095996,0.477847,-0.00193974,0.477847,0,0
PPH3,0.0263309,0.580447,0.0133732,0.580447,-0.0454072,0.000630054,-0.00450627,0.000630054,0,0.356145
POL32,-0.00411681,0.942263,-0.0015849,0.942263,-0.052067,7.32633E-05,-0.00426459,7.32633E-05,0,1.2906364
POG1,-0.00745659,0.568109,-0.000628778,0.568109,-0.0460416,0.474066,-0.0334113,0.474066,0,0
PMS1,-0.00747791,0.565091,-0.000422159,0.565091,-0.061886,0.401398,-0.027326,0.401398,0,0
PLC1,-0.0507701,0.000140663,-0.00962886,0.000140663,-0.00942916,0.835244,-0.0087465,0.835244,1.00734,0
PML39,0.0176901,0.176252,0.00114106,0.176252,0.0316935,0.610266,0.0133195,0.610266,0,0
PIH1,-0.0570316,0.235215,-0.0271141,0.235215,0.026836,0.0432787,0.00281554,0.0432787,0,0
PIN4,-0.00497186,0.706884,-0.000452024,0.706884,-0.0811554,0.112343,-0.0369336,0.112343,0,0
PIF1,-0.0492308,0.000235134,-0.00413283,0.000235134,0.0472777,0.277279,0.0167419,0.277279,0.784208,0
PIB2,0.0186493,0.153173,0.00149547,0.153173,-0.0467315,0.472106,-0.0245709,0.472106,0,0
PHO80,0.0242395,0.0614264,0.00179968,0.0614264,-0.014753,0.856842,-0.00876945,0.856842,0,0
PFK2,-0.0975307,0.0220423,-0.0754502,0.0220423,0.0114435,0.393762,0.00261633,0.393762,0,0
PFK1,-0.0244928,0.0632462,-0.00343826,0.0632462,-0.0148148,0.780888,-0.0106798,0.780888,0,0
PHO85,-0.0181682,0.165903,-0.00366303,0.165903,-0.0534573,0.364374,-0.0548764,0.364374,0,0
PFK27,-0.000134627,0.992054,-2.30712E-05,0.992054,-0.0327381,0.411296,-0.022969,0.411296,0,0
PHO13,0.0119655,0.35647,0.000720231,0.35647,0.129787,0.0955923,0.07663,0.0955923,0,0
PET112,0.0504,0.350648,0.0185506,0.350648,-0.02283,0.0831266,-0.00134997,0.0831266,0,0
PDE2,-0.0483144,0.323842,-0.0364646,0.323842,-0.0246718,0.0628021,-0.00282415,0.0628021,0,0
PCL8,0.0029497,0.824342,0.000224135,0.824342,0.0405441,0.395143,0.0193079,0.395143,0,0
PCL6,-0.00455704,0.724549,-0.00043193,0.724549,-0.0548343,0.54361,-0.0476633,0.54361,0,0
PBS2,-0.00142212,0.977323,-0.000740998,0.977323,0.00411902,0.755764,0.000331857,0.755764,0,0
PBP1,0.0636225,0.447101,0.0312826,0.447101,0.003759,0.771673,0.000388203,0.771673,0,0
PAT1,0.0250598,0.0537295,0.00554694,0.0537295,-0.194773,0.00860264,-0.211161,0.00860264,0,0
PAP2,0.0120454,0.754928,0.00708542,0.754928,-0.00512343,0.705759,-0.000601436,0.705759,0,0
OPI1,0.0178806,0.180277,0.00367608,0.180277,-0.0563075,0.213418,-0.0560839,0.213418,0,0
OCA6,0.104965,0.086333,0.0514026,0.086333,0.0115884,0.375967,0.00102783,0.375967,0,0
OCA4,0.0114418,0.830378,0.0047531,0.830378,0.0360653,0.00621849,0.00298703,0.00621849,0,0
OCA5,0.019757,0.135162,0.00159467,0.135162,0.0614276,0.227951,0.0232884,0.227951,0,0
OCA2,0.0172303,0.767834,0.00852019,0.767834,0.0260504,0.0470637,0.00234151,0.0470637,0,0
OCA1,0.0107563,0.408732,0.0011715,0.408732,0.0713149,0.308378,0.0384825,0.308378,0,0
NUP60,0.000123087,0.992581,1.76057E-05,0.992581,-0.0603062,0.230569,-0.0290689,0.230569,0,0
NUP170,-0.00198975,0.880417,-0.000271376,0.880417,0.0498151,0.327735,0.0372639,0.327735,0,0
NUP188,-0.0204527,0.7894,-0.011102,0.7894,-0.00494119,0.703534,-0.000367669,0.703534,0,0
NUP120,0.0123981,0.347948,0.0016562,0.347948,-0.0313275,0.545866,-0.0156355,0.545866,0,0
NTH2,-0.00225429,0.96999,-0.0016228,0.96999,0.00769261,0.557173,0.000817761,0.557173,0,0
NPR2,0.0156008,0.232052,0.00101853,0.232052,-0.128053,0.0489482,-0.0516877,0.0489482,0,0
NRP1,0.0141883,0.787331,0.00504876,0.787331,-0.0101222,0.44312,-0.000647652,0.44312,0,0
NOP6,0.0511313,0.445346,0.0293609,0.445346,-0.0314368,0.0159043,-0.00273145,0.0159043,0,0
NPT1,-0.0288944,0.587932,-0.0178237,0.587932,-0.066514,4.43009E-07,-0.004971,4.43009E-07,0,3.5091103
NMD2,-0.0241043,0.0894233,-0.00337146,0.0894233,0.00242195,0.934869,0.00122565,0.934869,0,0
NPL3,0.000144732,0.991384,4.09191E-05,0.991384,-0.0686167,0.111897,-0.0754357,0.111897,0,0
NOP12,0.00689886,0.600198,0.000736775,0.600198,0.000795916,0.988455,0.000413089,0.988455,0,0
NKP2,0.000722056,0.986895,0.000330441,0.986895,-0.0324272,0.0153544,-0.00362151,0.0153544,0,0
NEW1,0.0284028,0.645951,0.0163476,0.645951,-0.0265441,0.042464,-0.00291195,0.042464,0,0
NBP2,-0.0154442,0.240281,-0.0021054,0.240281,-0.0333829,0.549348,-0.0247155,0.549348,0,0
NAM7,-0.0258643,0.0707893,-0.00341317,0.0707893,0.00104333,0.970888,0.000506972,0.970888,0,0
MUD2,-0.0202462,0.674397,-0.00727837,0.674397,-0.0244829,0.0651735,-0.00196984,0.0651735,0,0
NCE102,0.0230846,0.699507,0.0138376,0.699507,0.0251733,0.0547113,0.00168487,0.0547113,0,0
MUM2,0.0186112,0.15412,0.00143164,0.15412,-0.025683,0.690976,-0.0161453,0.690976,0,0
MUS81,0.0349713,0.660646,0.0146079,0.660646,0.000986782,0.939354,6.28945E-05,0.939354,0,0
MSG5,-0.138351,0.131822,-0.0805083,0.131822,0.00282144,0.827222,0.000323819,0.827222,0,0
MSN5,0.0224146,0.607669,0.01717,0.607669,-0.0248981,0.0629221,-0.00333705,0.0629221,0,0
MSH2,-0.0533809,4.68314E-05,-0.00582394,4.68314E-05,0.0464509,0.425117,0.0330801,0.425117,1.48499,0
MSH1,0.0460243,0.247945,0.0209248,0.247945,-0.0523484,0.000106537,-0.00522879,0.000106537,0,1.1280234
MRT4,0.0174512,0.187181,0.00191869,0.187181,0.00688667,0.89175,0.00383158,0.89175,0,0
MSC1,-0.00604697,0.644725,-0.000597808,0.644725,-0.0159546,0.786745,-0.00814023,0.786745,0,0
MRN1,-0.0736613,0.110745,-0.0451845,0.110745,-0.00117701,0.929598,-0.000123083,0.929598,0,0
MRC1,-0.0232859,0.628149,-0.00886306,0.628149,-0.228731,3.18658E-68,-0.020186,3.18658E-68,0,64.6521973
MMS4,-0.0988485,0.205136,-0.0278513,0.205136,-0.0286606,0.0271686,-0.00161846,0.0271686,0,0
MRE11,0.00169142,0.969426,0.000735798,0.969426,-0.0148688,0.266312,-0.00164506,0.266312,0,0
MMS22,-0.018786,0.165584,-0.00309725,0.165584,-0.00187597,0.961692,-0.000944841,0.961692,0,0
MMS1,-0.0310273,0.018438,-0.00336648,0.018438,0.0634229,0.244884,0.0296398,0.244884,0,0
MKS1,-0.0370779,0.545603,-0.030945,0.545603,0.0182102,0.164129,0.0019169,0.164129,0,0
MET18,-0.0636935,0.0844192,-0.0299473,0.0844192,0.0063247,0.643036,0.00063047,0.643036,0,0
MFT1,-0.0442798,0.423422,-0.0265362,0.423422,-0.000885633,0.946339,-8.94597E-05,0.946339,0,0
MET13,0.0146921,0.254149,0.00106352,0.254149,0.0863016,0.443633,0.0475459,0.443633,0,0
MGA2,0.0193365,0.149147,0.00340165,0.149147,-0.0572758,0.183856,-0.0345556,0.183856,0,0
MEI5,-0.0271617,0.0405352,-0.00213154,0.0405352,0.0344303,0.481609,0.0157366,0.481609,0,0
SRB8,0.00458016,0.731706,0.000886259,0.731706,-0.0435127,0.331063,-0.0527014,0.331063,0,0
SSN2,-0.00569419,0.669344,-0.00107663,0.669344,-0.0474027,0.300008,-0.050464,0.300008,0,0
MDS3,0.00947031,0.828291,0.00710088,0.828291,-0.0188277,0.159657,-0.00253583,0.159657,0,0
MCM21,-0.0224361,0.0834909,-0.00163224,0.0834909,0.0193985,0.810658,0.00689462,0.810658,0,0
MAK31,0.0221344,0.75813,0.0113325,0.75813,0.014983,0.24942,0.0009378,0.24942,0,0
MCK1,-0.018135,0.168365,-0.00298701,0.168365,0.0141956,0.79544,0.0106943,0.79544,0,0
LTV1,-3.80764E-05,0.999383,-2.58159E-05,0.999383,-0.00017866,0.989248,-2.70169E-05,0.989248,0,0
LOC1,0.103678,0.132398,0.128458,0.132398,0.00431582,0.740421,0.000459015,0.740421,0,0
LSM7,-0.00937094,0.909081,-0.00692344,0.909081,0.0257622,0.0467992,0.00456052,0.0467992,0,0
LSM6,0.0201334,0.124139,0.00420053,0.124139,-0.185064,0.00213852,-0.138316,0.00213852,0,0
LOS1,-0.00198585,0.879034,-0.000128373,0.879034,0.0434852,0.510767,0.0190105,0.510767,0,0
LSM1,0.021102,0.104697,0.00394141,0.104697,-0.114603,0.111572,-0.100693,0.111572,0,0
LEA1,-0.00279013,0.832061,-0.000364496,0.832061,-0.0345763,0.532627,-0.0218692,0.532627,0,0
KSP1,-0.0170116,0.771459,-0.00915232,0.771459,0.0197658,0.131855,0.00181471,0.131855,0,0
LEM3,-0.00806151,0.538459,-0.000728165,0.538459,0.0174431,0.770561,0.00964478,0.770561,0,0
GPB1,0.0215299,0.725203,0.0170099,0.725203,0.00109584,0.933285,0.000145451,0.933285,0,0
