,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2
UME1,-0.0148238,0.817428,-0.00755599,0.817428,0.0176212,0.177349,0.00170938,0.177349,0,0
TUP1,-0.0450615,0.00108402,-0.00940967,0.00108402,0.0214278,0.532468,0.0303046,0.532468,0.120487,0
SWR1,0.0197838,0.136142,0.00230014,0.136142,-0.0226032,0.639819,-0.0114294,0.639819,0,0
SWI3,-0.0618897,0.164929,-0.0635352,0.164929,-0.0419985,0.00166582,-0.00728339,0.00166582,0,0
SWC3,0.0150322,0.755382,0.00455159,0.755382,0.0230655,0.0823115,0.00203681,0.0823115,0,0
SPT8,0.0113675,0.392023,0.00145121,0.392023,-0.0633823,0.187013,-0.046221,0.187013,0,0
SUS1,-0.122372,0.0191856,-0.0688164,0.0191856,-0.0370085,0.00504012,-0.00566043,0.00504012,0,0
SPT3,0.0217292,0.102379,0.00348641,0.102379,-0.0845385,0.0716189,-0.0776591,0.0716189,0,0
SPT7,-0.00475542,0.914602,-0.00494308,0.914602,-0.0263863,0.0484082,-0.00637593,0.0484082,0,0
CYC8,0.00748243,0.589509,0.0024982,0.589509,0.0406857,0.221416,0.0548641,0.221416,0,0
SWC5,-0.0685565,0.174989,-0.0328372,0.174989,0.00296421,0.822742,0.00032668,0.822742,0,0
SIR2,-0.0620084,1.97054E-06,-0.00707183,1.97054E-06,0.124425,0.0584492,0.162373,0.0584492,2.86094,0
SPT20,-0.0456204,0.218911,-0.0527699,0.218911,-0.013467,0.323395,-0.00324738,0.323395,0,0
SIR4,0.0638444,0.291428,0.0751088,0.291428,0.00633169,0.628786,0.000678066,0.628786,0,0
SNF2,-0.0942759,0.0567772,-0.106811,0.0567772,-0.00732335,0.580476,-0.00113368,0.580476,0,0
SNF11,-0.0718505,0.272645,-0.0343681,0.272645,0.0176477,0.176329,0.00147095,0.176329,0,0
SNF12,-0.111004,0.00990545,-0.120103,0.00990545,-0.0177512,0.185375,-0.00283202,0.185375,0,0
SNF5,-0.0340596,0.0101818,-0.00643553,0.0101818,-0.101278,0.0389446,-0.101191,0.0389446,0,0
SIR3,0.0651119,0.249977,0.0748137,0.249977,-0.040742,0.00192502,-0.0043261,0.00192502,0,0
SNF6,-0.0647647,0.0877604,-0.0541792,0.0877604,-0.00876063,0.519387,-0.00122268,0.519387,0,0
SIR1,-0.00458971,0.721238,-0.000337697,0.721238,0.148491,0.25341,0.131402,0.25341,0,0
SIF2,0.0130136,0.319483,0.00170416,0.319483,-0.236525,0.000146135,-0.134001,0.000146135,0,0.9907694
SIN3,-0.0260331,0.0543265,-0.00503274,0.0543265,-0.0610213,0.122159,-0.0579194,0.122159,0,0
SGF29,-0.0277422,0.03715,-0.00365455,0.03715,-0.00136061,0.976707,-0.000768054,0.976707,0,0
SGF73,-0.0274118,0.0395366,-0.00468383,0.0395366,0.0223876,0.629405,0.0181187,0.629405,0,0
SET3,-0.142496,0.0134957,-0.0649218,0.0134957,0.0409911,0.00178221,0.00487167,0.00178221,0,0
SET2,-0.0261345,0.053024,-0.00341157,0.053024,0.0540416,0.176886,0.0273772,0.176886,0,0
SAS4,-0.00570014,0.665064,-0.000603521,0.665064,-0.161322,0.00302188,-0.113261,0.00302188,0,0
SDS3,-0.023996,0.0766133,-0.00430367,0.0766133,-0.0311303,0.424269,-0.0263865,0.424269,0,0
SAS5,-0.216619,0.0140509,-0.136705,0.0140509,0.0115256,0.372901,0.000868656,0.372901,0,0
SAS2,-0.211744,0.000852155,-0.191447,0.000852155,-0.014491,0.267298,-0.0012025,0.267298,0.225004,0
RTT106,-0.0256372,0.0556058,-0.00302287,0.0556058,-0.00484274,0.91127,-0.00205101,0.91127,0,0
RXT3,-0.0322063,0.0157666,-0.00398966,0.0157666,0.070748,0.118566,0.0256749,0.118566,0,0
RTT109,-0.0843915,8.81737E-10,-0.0143052,8.81737E-10,-0.0825308,0.0162216,-0.0671042,0.0162216,6.21018,0
SAP30,0.000798147,0.953029,0.000132437,0.953029,-0.0520118,0.18268,-0.039668,0.18268,0,0
RXT2,0.0263147,0.0519847,0.00397575,0.0519847,-0.030203,0.441003,-0.0204385,0.441003,0,0
RTG2,0.0178948,0.759151,0.0143103,0.759151,0.0187916,0.152057,0.00166594,0.152057,0,0
RTF1,0.0258587,0.0466069,0.0062548,0.0466069,-0.173363,0.0182795,-0.195671,0.0182795,0,0
RCO1,-0.00268874,0.839857,-0.00026945,0.839857,-0.00201941,0.965698,-0.000876088,0.965698,0,0
RSC2,-0.00177851,0.893134,-0.000414329,0.893134,-0.08263,0.0993171,-0.077529,0.0993171,0,0
RSC1,0.00380041,0.776524,0.000590318,0.776524,-0.0392129,0.36943,-0.02769,0.36943,0,0
RPD3,-0.0880525,0.0307621,-0.0930054,0.0307621,-0.0230449,0.0873261,-0.0048802,0.0873261,0,0
RFM1,0.0152133,0.783386,0.0143404,0.783386,-0.0386084,0.00333326,-0.00353794,0.00333326,0,0
NOT3,0.0292288,0.0278811,0.00365293,0.0278811,-0.0760395,0.108389,-0.0290951,0.108389,0,0
MSI1,-0.0243153,0.0665068,-0.00276177,0.0665068,0.0899669,0.068447,0.0567511,0.068447,0,0
PHO23,0.0240823,0.0748644,0.00370367,0.0748644,-0.0322818,0.416743,-0.0228826,0.416743,0,0
RAD6,0.0152898,0.248556,0.00417371,0.248556,-0.0143465,0.772104,-0.0136459,0.772104,0,0
NGG1,-0.0721626,0.125957,-0.0787468,0.125957,-0.0106379,0.42378,-0.00225421,0.42378,0,0
PAF1,-0.103575,0.0511909,-0.139878,0.0511909,0.0307594,0.0196535,0.0104024,0.0196535,0,0
NPL6,0.0467059,0.000639159,0.00958305,0.000639159,-0.0912658,0.0115012,-0.0803629,0.0115012,0.349914,0
SOH1,0.0429108,0.00112176,0.00684992,0.00112176,-0.0411472,0.446165,-0.0289031,0.446165,0.105624,0
NUT1,0.00566783,0.916947,0.00347462,0.916947,-0.00387399,0.768677,-0.000424287,0.768677,0,0
CSE2,-0.0683741,0.134286,-0.0576063,0.134286,0.0219195,0.100188,0.00341762,0.100188,0,0
PGD1,0.00765809,0.845612,0.00628884,0.845612,-0.0285277,0.035072,-0.00443898,0.035072,0,0
SRB5,-0.00189583,0.970039,-0.00149922,0.970039,0.028555,0.030921,0.00521614,0.030921,0,0
MED2,-0.0166964,0.214245,-0.00337007,0.214245,0.00749685,0.858009,0.00742534,0.858009,0,0
SRB2,-0.0673166,0.212982,-0.0608473,0.212982,0.0517651,8.44171E-05,0.0112054,8.44171E-05,0,1.2290925
GAL11,-0.0107245,0.426461,-0.00267068,0.426461,0.0320507,0.430949,0.0371414,0.430949,0,0
SIN4,-0.0404309,0.00246377,-0.00659864,0.00246377,-0.0268734,0.54843,-0.0246272,0.54843,0,0
MED1,-0.0337326,0.480332,-0.0295154,0.480332,0.015377,0.247115,0.00214488,0.247115,0,0
LGE1,0.00615595,0.63639,0.00126857,0.63639,-0.0895995,0.19918,-0.0859175,0.19918,0,0
JHD2,-0.00339584,0.945683,-0.00123476,0.945683,0.00807666,0.542022,0.000604506,0.542022,0,0
LEO1,-0.191796,0.000874877,-0.114122,0.000874877,0.0617341,2.49359E-06,0.00770275,2.49359E-06,0.213576,2.7586986
LDB7,0.0242399,0.0688887,0.00276054,0.0688887,-0.0243782,0.596509,-0.0103576,0.596509,0,0
ITC1,0.0191858,0.148779,0.00179397,0.148779,-0.0431326,0.365643,-0.027551,0.365643,0,0
HST1,0.0401377,0.519354,0.0392912,0.519354,-0.0558991,1.89605E-05,-0.00617074,1.89605E-05,0,1.8776724
IOC4,-0.00959471,0.888504,-0.00523681,0.888504,0.0169237,0.194027,0.00147382,0.194027,0,0
ISW1,-0.0112686,0.39993,-0.00107967,0.39993,-0.0382249,0.382078,-0.0180608,0.382078,0,0
HTZ1,0.0153054,0.250412,0.0020526,0.250412,-0.0598308,0.197309,-0.0361264,0.197309,0,0
IOC2,0.000283646,0.982691,2.77927E-05,0.982691,-0.0720079,0.252856,-0.0341896,0.252856,0,0
HTL1,-0.00972538,0.80248,-0.00669936,0.80248,0.0322934,0.017192,0.00462385,0.017192,0,0
IES5,-0.0214487,0.107981,-0.00177104,0.107981,-0.0244826,0.588754,-0.00991331,0.588754,0,0
HOS4,-0.17768,0.00339635,-0.0621691,0.00339635,-0.0704283,7.1933E-08,-0.00540758,7.1933E-08,0,4.2985949
IES3,-0.0033171,0.80248,-0.000398833,0.80248,-0.0457121,0.351195,-0.0276543,0.351195,0,0
IOC3,-0.0372354,0.00430164,-0.00309297,0.00430164,0.120001,0.0699,0.0629946,0.0699,0,0
IES2,0.0104903,0.427881,0.00174991,0.427881,-0.0544928,0.281195,-0.0400781,0.281195,0,0
HOS2,0.0285923,0.027945,0.00309283,0.027945,-0.171092,0.0162227,-0.0691959,0.0162227,0,0
IES6,0.0122492,0.358988,0.00316152,0.358988,-0.0461758,0.304244,-0.0505757,0.304244,0,0
IES1,-0.0573969,0.303763,-0.0234063,0.303763,-0.0175204,0.182766,-0.00135394,0.182766,0,0
HPC2,-0.0871161,0.414239,-0.0386558,0.414239,-0.0295571,0.0218627,-0.00340964,0.0218627,0,0
HIR1,0.266066,0.141049,0.0364632,0.141049,-0.0254128,0.0476309,-0.0029316,0.0476309,0,0
HIR2,-0.0392335,0.00266123,-0.00277612,0.00266123,-0.078671,0.219822,-0.0249779,0.219822,0,0
HDA2,0.0364848,0.458538,0.0149945,0.458538,0.032719,0.0135636,0.0031218,0.0135636,0,0
HDA1,0.0309799,0.0193259,0.00281547,0.0193259,-0.0337475,0.497715,-0.0147726,0.497715,0,0
HDA3,-0.0449947,0.368234,-0.0191854,0.368234,0.0239937,0.0699636,0.0023767,0.0699636,0,0
ESC8,0.037098,0.655522,0.0173895,0.655522,-0.00183553,0.887336,-0.000141056,0.887336,0,0
GCN5,-0.0847648,0.0958879,-0.0901201,0.0958879,-0.0250858,0.0578092,-0.00560253,0.0578092,0,0
DPB4,-0.0468588,0.000398459,-0.00390762,0.000398459,-0.00325175,0.948308,-0.00146393,0.948308,0.555139,0
CHD1,-0.0498611,0.000193968,-0.00536768,0.000193968,0.0587487,0.178931,0.0247662,0.178931,0.867793,0
BUR2,0.00663739,0.616149,0.00199148,0.616149,-0.134159,0.00721107,-0.140012,0.00721107,0,0
CDC73,-0.0710789,0.124257,-0.0691981,0.124257,0.0358787,0.00705415,0.00814128,0.00705415,0,0
EAF6,0.0307229,0.0177542,0.00310317,0.0177542,-0.077134,0.343291,-0.0392559,0.343291,0,0
DEP1,-0.0238634,0.0781189,-0.0041936,0.0781189,-0.0574477,0.14162,-0.0481349,0.14162,0,0
CAF130,-0.0695373,0.267648,-0.0347739,0.267648,-0.00932543,0.475733,-0.00091473,0.475733,0,0
EAF1,-0.0828922,0.031929,-0.0604701,0.031929,0.0452433,0.000846874,0.00827797,0.000846874,0,0.2277038
CTR9,0.0232356,0.0777699,0.00816828,0.0777699,-0.0393477,0.466971,-0.0544216,0.466971,0,0
EAF5,-0.0260628,0.0471292,-0.00315832,0.0471292,-0.0678203,0.237631,-0.0381441,0.237631,0,0
EAF7,-0.0995831,0.0527344,-0.0673888,0.0527344,-0.033052,0.0123623,-0.00449146,0.0123623,0,0
CTI6,0.049756,0.306138,0.0277279,0.306138,0.0467902,0.000418467,0.00628387,0.000418467,0,0.5338612
CAC2,-0.0306323,0.0231753,-0.00414501,0.0231753,-0.0141514,0.726584,-0.0102716,0.726584,0,0
CCR4,-0.0039304,0.78241,-0.000830542,0.78241,-0.0635063,0.0300578,-0.0469271,0.0300578,0,0
DLS1,-0.103185,0.0906174,-0.0517201,0.0906174,-0.0105536,0.420159,-0.000969924,0.420159,0,0
EAF3,0.00457362,0.730859,0.00041969,0.730859,0.039456,0.404778,0.0181716,0.404778,0,0
RLF2,-0.0193432,0.146653,-0.0020445,0.146653,0.0439206,0.339494,0.0223317,0.339494,0,0
CAF40,-0.000122667,0.992636,-1.34138E-05,0.992636,-0.00551794,0.907802,-0.00244864,0.907802,0,0
BRE1,-0.0794549,0.174238,-0.0690017,0.174238,-0.0011927,0.927559,-0.000267917,0.927559,0,0
ASF1,-0.0630694,0.170873,-0.028714,0.170873,-0.136695,6.59047E-25,-0.0223081,6.59047E-25,0,21.3366064
ARP6,-0.0853115,0.0699816,-0.0332396,0.0699816,0.00951654,0.474301,0.000976126,0.474301,0,0
NRG1,0.00288895,0.823461,0.000323053,0.823461,0.105551,0.212886,0.0548978,0.212886,0,0
YLR278C,-0.0145792,0.2676,-0.00110673,0.2676,0.133284,0.0165381,0.0525786,0.0165381,0,0
ZAP1,0.00702248,0.597677,0.000955322,0.597677,-0.125115,0.00740926,-0.0778935,0.00740926,0,0
ENV11,0.0278626,0.455693,0.0112823,0.455693,-0.0496922,0.000263296,-0.00526384,0.000263296,0,0.7350783
YJL206C,0.00646018,0.622646,0.000483782,0.622646,-0.0217985,0.705958,-0.0126268,0.705958,0,0
HEL2,-0.0489415,0.125172,-0.0149954,0.125172,0.00203579,0.884165,0.000134917,0.884165,0,0
YAP1,0.103172,0.0758514,0.0479096,0.0758514,-0.00626286,0.633164,-0.000349746,0.633164,0,0
URC2,-0.00786589,0.554854,-0.000770557,0.554854,-0.0872225,0.0590953,-0.0345932,0.0590953,0,0
TEC1,0.0368204,0.635611,0.0192786,0.635611,-0.00737038,0.570113,-0.000514459,0.570113,0,0
SWI5,-0.000710296,0.992036,-0.000479788,0.992036,-0.0473481,0.000272317,-0.00315194,0.000272317,0,0.7204475
SWI4,0.0556376,0.193438,0.0324875,0.193438,0.00678209,0.613168,0.000795345,0.613168,0,0
SUM1,-0.00733425,0.894568,-0.00812003,0.894568,-0.0551485,2.73722E-05,-0.00487433,2.73722E-05,0,1.7182136
STP3,-0.0196528,0.131036,-0.00147239,0.131036,-0.10615,0.132692,-0.0575971,0.132692,0,0
STP2,-0.0114831,0.38489,-0.00079155,0.38489,0.04541,0.378007,0.0175475,0.378007,0,0
STP1,0.00956546,0.467096,0.00228551,0.467096,-0.142524,0.010093,-0.148767,0.010093,0,0
STE12,0.0708993,0.413846,0.0645125,0.413846,-0.000643699,0.960334,-5.06613E-05,0.960334,0,0
STB5,-0.0148323,0.26766,-0.00262868,0.26766,-0.0169547,0.699701,-0.0118381,0.699701,0,0
STB4,-0.00181853,0.887696,-0.000130132,0.887696,0.0051318,0.965387,0.00275417,0.965387,0,0
RPN4,-0.00547577,0.904359,-0.00272455,0.904359,0.0309694,0.0202149,0.00296015,0.0202149,0,0
SKN7,0.0583771,0.251314,0.0335869,0.251314,0.0274218,0.0381088,0.00216411,0.0381088,0,0
SOK2,0.0169784,0.690078,0.00917608,0.690078,0.00647939,0.629287,0.000579544,0.629287,0,0
RTG3,-0.0042322,0.929945,-0.00363244,0.929945,0.0181806,0.170949,0.00164277,0.170949,0,0
SFL1,-0.0149634,0.770952,-0.00831189,0.770952,-0.00133749,0.919403,-0.000155758,0.919403,0,0
RPH1,0.00358867,0.789691,0.000294098,0.789691,0.0630498,0.129018,0.0190537,0.129018,0,0
SNT1,0.00851373,0.514657,0.00115443,0.514657,-0.229406,0.000277202,-0.135975,0.000277202,0,0.7127263
RSC30,0.014583,0.27437,0.00186409,0.27437,-0.0290945,0.521818,-0.016919,0.521818,0,0
RTG1,0.0360596,0.00607112,0.0023398,0.00607112,-0.0213118,0.704992,-0.0141586,0.704992,0,0
SKO1,-0.00752467,0.569775,-0.000654362,0.569775,0.00938447,0.851762,0.00470284,0.851762,0,0
SPT2,0.00166809,0.898594,0.00014447,0.898594,0.0327033,0.594023,0.0176584,0.594023,0,0
SFP1,0.0472939,0.000647613,0.0122396,0.000647613,-0.0936879,0.00469879,-0.0949174,0.00469879,0.344207,0
ROX1,0.00241304,0.854921,0.000218204,0.854921,-0.020607,0.695573,-0.0126774,0.695573,0,0
RME1,0.119465,0.0783986,0.0506312,0.0783986,0.00372661,0.77494,0.000273105,0.77494,0,0
RGT1,-0.0944563,0.167582,-0.0506898,0.167582,-0.00247747,0.849208,-0.00022363,0.849208,0,0
RIM101,-0.043278,0.488877,-0.033107,0.488877,-0.010749,0.411124,-0.000868027,0.411124,0,0
RFX1,0.0457069,0.597232,0.0434755,0.597232,-0.0113767,0.379431,-0.00092483,0.379431,0,0
PPR1,-0.170085,0.0337737,-0.0815499,0.0337737,-0.0160838,0.214767,-0.000862754,0.214767,0,0
PEP7,-0.00770464,0.567465,-0.00123134,0.567465,-0.00230141,0.955251,-0.00156545,0.955251,0,0
MOT2,0.0133081,0.328734,0.00459406,0.328734,-0.00974025,0.794302,-0.0115221,0.794302,0,0
PDR3,0.102356,0.178957,0.0369985,0.178957,0.0106657,0.411425,0.000760974,0.411425,0,0
MSN2,-0.0165622,0.809646,-0.0102039,0.809646,0.0181103,0.164506,0.00129912,0.164506,0,0
NHP10,-0.0307651,0.0211347,-0.00296859,0.0211347,0.0481615,0.286837,0.0215574,0.286837,0,0
MOT3,0.00158792,0.973809,0.000962565,0.973809,-0.0104859,0.429575,-0.0008945,0.429575,0,0
MIG1,0.0503857,0.30584,0.0233397,0.30584,0.0199148,0.13302,0.00171858,0.13302,0,0
MBP1,-0.0338546,0.0107214,-0.00264082,0.0107214,-0.0383548,0.429219,-0.0183696,0.429219,0,0
MAC1,-0.0802399,0.158061,-0.0382665,0.158061,0.00146704,0.91109,9.85321E-05,0.91109,0,0
LEU3,0.0529396,0.42122,0.0231229,0.42122,-0.0142745,0.274021,-0.000933276,0.274021,0,0
HXK2,-0.050064,0.224659,-0.0317954,0.224659,-0.00441088,0.74325,-0.000571147,0.74325,0,0
HMO1,-0.013677,0.783773,-0.00804558,0.783773,0.0073892,0.576943,0.00104308,0.576943,0,0
INO2,-0.0773682,0.079116,-0.082728,0.079116,0.00642339,0.63109,0.00141285,0.63109,0,0
HAP1,-0.0130088,0.31374,-0.00122621,0.31374,-0.145329,0.133432,-0.0676908,0.133432,0,0
ISW2,0.0104305,0.430883,0.000824886,0.430883,0.00191123,0.969528,0.00100841,0.969528,0,0
HAP3,0.0769299,0.248345,0.0465127,0.248345,-0.0259464,0.0466444,-0.00223371,0.0466444,0,0
IXR1,-0.0387696,0.36856,-0.02428,0.36856,-0.0155341,0.24652,-0.00135557,0.24652,0,0
HAP2,-0.0785528,0.171203,-0.0373004,0.171203,0.000469769,0.971462,4.54112E-05,0.971462,0,0
INO4,-0.053349,0.252974,-0.0621908,0.252974,0.00562068,0.672845,0.00149225,0.672845,0,0
HAL9,-0.00988303,0.450839,-0.000687054,0.450839,0.0382904,0.520437,0.0144939,0.520437,0,0
GZF3,0.0265247,0.752323,0.0131762,0.752323,-0.022078,0.0882458,-0.00150384,0.0882458,0,0
HAP5,-0.165284,0.103856,-0.111726,0.103856,-0.0179582,0.163952,-0.00168699,0.163952,0,0
GAT2,0.00683022,0.600743,0.000338809,0.600743,0.0312443,0.634429,0.0087628,0.634429,0,0
FZF1,0.068895,0.28276,0.0260851,0.28276,-0.0273178,0.0364837,-0.0021205,0.0364837,0,0
FKH1,0.0111335,0.396541,0.000827301,0.396541,0.033879,0.554932,0.0191616,0.554932,0,0
GIS1,-0.0265797,0.0453355,-0.00232786,0.0453355,0.111525,0.0198437,0.045483,0.0198437,0,0
GCN4,0.0717579,0.248921,0.0400822,0.248921,-0.010922,0.403713,-0.00112608,0.403713,0,0
GLN3,-0.00479532,0.716079,-0.000741721,0.716079,-0.0141532,0.791313,-0.0107216,0.791313,0,0
CST6,-0.0128215,0.343127,-0.00333762,0.343127,-0.0544904,0.169232,-0.0645249,0.169232,0,0
CIN5,0.017347,0.793136,0.0070986,0.793136,0.00493677,0.70517,0.000367964,0.70517,0,0
DAL81,0.010497,0.442027,0.0010944,0.442027,-0.0559495,0.1281,-0.0241807,0.1281,0,0
ASH1,0.0306694,0.0178379,0.00260383,0.0178379,0.0519639,0.540565,0.0287066,0.540565,0,0
CHA4,-0.00887177,0.932738,-0.00666939,0.932738,-0.0730181,1.43679E-08,-0.00442431,1.43679E-08,0,4.9981291
DAT1,0.00488909,0.709696,0.000435703,0.709696,0.025347,0.658218,0.0110773,0.658218,0,0
CBF1,0.0267786,0.043896,0.0049382,0.043896,-0.0823996,0.0828607,-0.0736347,0.0828607,0,0
ADA2,-0.0811146,0.0582046,-0.0804326,0.0582046,-0.0150435,0.262018,-0.00308342,0.262018,0,0
CUP9,-0.00654194,0.619372,-0.000387924,0.619372,0.0751178,0.167615,0.0271114,0.167615,0,0
AFT1,0.0426886,0.480806,0.0320338,0.480806,-0.0283551,0.0303586,-0.00257197,0.0303586,0,0
ACE2,-0.011411,0.83541,-0.00786557,0.83541,-0.0190295,0.148265,-0.00177848,0.148265,0,0
AZF1,-0.113128,0.0266414,-0.0407802,0.0266414,0.00475591,0.719064,0.000397141,0.719064,0,0
ABF2,-0.0398318,0.00224934,-0.00261746,0.00224934,0.0286197,0.668687,0.0141958,0.668687,0,0
BAS1,-0.00711502,0.583073,-0.00064756,0.583073,0.165292,0.041167,0.118575,0.041167,0,0
ARG81,0.0182179,0.157043,0.00101488,0.157043,-0.00878594,0.941609,-0.00802254,0.941609,0,0
ARG80,0.0583066,0.439472,0.035138,0.439472,0.000324537,0.980068,2.55773E-05,0.980068,0,0
RPS21A,0.00331218,0.803481,0.000420569,0.803481,0.0222218,0.634525,0.0111171,0.634525,0,0
SRP40,-0.0189386,0.149791,-0.00263865,0.149791,0.141376,0.0110916,0.0810408,0.0110916,0,0
RCM1,0.0877863,0.0996229,0.0545408,0.0996229,-0.00440241,0.738475,-0.000592378,0.738475,0,0
RPS0B,0.170577,1.11959E-07,0.0799166,1.11959E-07,-0.0786556,1.58098E-08,-0.0103781,1.58098E-08,4.10647,4.9565975
RPL16A,0.0565643,0.0626491,0.0171719,0.0626491,-0.0210712,0.13539,-0.00210518,0.13539,0,0
UBC7,-0.0194521,0.132563,-0.00140083,0.132563,-0.0156715,0.861179,-0.00760988,0.861179,0,0
YIL014C-A,0.0134405,0.301647,0.000898748,0.301647,0.0190854,0.789037,0.00863143,0.789037,0,0
SAM3,-0.016352,0.216102,-0.00181545,0.216102,-0.126545,0.0131972,-0.0634627,0.0131972,0,0
UTP30,-0.0381966,0.454878,-0.0224644,0.454878,-0.0133236,0.313611,-0.00137398,0.313611,0,0
YHR003C,-0.0294726,0.0283742,-0.00389902,0.0283742,0.00140314,0.973218,0.000933862,0.973218,0,0
SWT21,-0.0074943,0.566651,-0.000947996,0.566651,-0.0269824,0.665583,-0.0173263,0.665583,0,0
EST3,0.00877464,0.511427,0.00147953,0.511427,0.119673,0.00709536,0.102751,0.00709536,0,0
LSM12,0.0063743,0.625739,0.000579922,0.625739,0.0156947,0.804965,0.0105027,0.804965,0,0
IKI3,0.0021116,0.971788,0.00121596,0.971788,0.0243101,0.0635818,0.00302208,0.0635818,0,0
TFB5,-0.0773275,0.0268109,-0.0425392,0.0268109,0.0182492,0.1846,0.00232904,0.1846,0,0
YPK3,-0.0218653,0.71224,-0.00749939,0.71224,0.00506793,0.699092,0.000482706,0.699092,0,0
SNX4,-0.00489215,0.938405,-0.00201142,0.938405,-0.0206429,0.114248,-0.0016764,0.114248,0,0
TIF4631,-0.00185191,0.887136,-0.000207937,0.887136,-0.175716,0.00742786,-0.118585,0.00742786,0,0
YOR338W,-0.0697232,0.499664,-0.0422798,0.499664,0.000163286,0.989901,2.19918E-05,0.989901,0,0
YPL199C,-0.0202449,0.114887,-0.0030605,0.114887,0.0794727,0.621363,0.0985252,0.621363,0,0
SET5,-0.00186391,0.884714,-0.000195319,0.884714,-0.158723,0.256299,-0.143261,0.256299,0,0
RAD28,-0.00736393,0.566581,-0.000900336,0.566581,-0.00594113,0.968032,-0.00447187,0.968032,0,0
SAE2,-0.0217971,0.0928071,-0.00287858,0.0928071,-0.169753,0.0318739,-0.0956713,0.0318739,0,0
HEH2,0.00834549,0.521408,0.000691724,0.521408,0.0156211,0.825362,0.00904657,0.825362,0,0
TRX2,-0.0368983,0.00518006,-0.00239612,0.00518006,-0.0174163,0.739141,-0.00829545,0.739141,0,0
EUG1,0.0353615,0.573305,0.0213453,0.573305,-0.00652767,0.61763,-0.00063476,0.61763,0,0
TEL1,-0.0339043,0.00862319,-0.00273596,0.00862319,0.0861305,0.380006,0.0459931,0.380006,0,0
PPZ1,-0.00479714,0.711948,-0.000415454,0.711948,-0.0432306,0.564461,-0.0232719,0.564461,0,0
FPK1,-0.0437437,0.540588,-0.0245159,0.540588,-0.0223469,0.0858593,-0.00172199,0.0858593,0,0
CMK1,0.198043,0.0141309,0.0800671,0.0141309,-0.0263703,0.0418798,-0.00246098,0.0418798,0,0
MIH1,-0.0412754,0.524536,-0.0199058,0.524536,0.00090334,0.944848,8.90523E-05,0.944848,0,0
MKK2,0.142301,0.00975369,0.0479622,0.00975369,-0.0133337,0.310886,-0.00108996,0.310886,0,0
RIM11,-0.0157536,0.229863,-0.00152308,0.229863,0.139096,0.0166376,0.0651718,0.0166376,0,0
PPT1,0.0141957,0.271865,0.00117151,0.271865,0.00193512,0.983697,0.00132678,0.983697,0,0
SPO7,0.100193,0.227261,0.0520884,0.227261,-0.00801447,0.536176,-0.000656684,0.536176,0,0
BCK1,0.0609362,0.443999,0.0420918,0.443999,-0.00196704,0.879455,-0.00020436,0.879455,0,0
CHK1,0.150454,0.00367569,0.0811727,0.00367569,-0.00933421,0.479691,-0.00109504,0.479691,0,0
KDX1,0.0443545,0.441738,0.0148743,0.441738,-0.00788715,0.548004,-0.000597012,0.548004,0,0
PTC4,0.145235,0.0427844,0.080331,0.0427844,-0.0295974,0.0228612,-0.00227681,0.0228612,0,0
RIM15,-0.00456671,0.725187,-0.000470087,0.725187,-0.0086812,0.90818,-0.00528994,0.90818,0,0
CMK2,0.0529466,0.489037,0.023335,0.489037,-0.0270477,0.0372066,-0.00214768,0.0372066,0,0
LCB5,-0.0176153,0.175036,-0.00179714,0.175036,-0.0947287,0.208477,-0.0476483,0.208477,0,0
CKA1,-0.092707,0.240652,-0.0672109,0.240652,-0.0502839,0.000105007,-0.00407021,0.000105007,0,1.1343063
PSR1,0.014076,0.281735,0.00131127,0.281735,0.0212136,0.735017,0.010513,0.735017,0,0
PPG1,0.0601805,0.288506,0.0253102,0.288506,0.017806,0.175362,0.00115614,0.175362,0,0
USA1,-0.176605,0.0317788,-0.0653825,0.0317788,0.0113746,0.379995,0.0010015,0.379995,0,0
